Address,Area,Rent,Latitude,Longitude,Neighbourhood Number
"5 - 1333 Kennedy Rd, Toronto ON",8600.0,14691.0,43.7744649,-79.2844578,126
"534 Lawrence Avenue West, Toronto ON",5939.0,15837.0,43.7186581,-79.43284109999999,32
"2715 Yonge St, Toronto ON",7106.0,4518.0,43.717396,-79.400525,103
"534 Lawrence Avenue West, Toronto ON",400.0,366.0,43.7186581,-79.43284109999999,32
"1425 Yonge Street, Toronto ON",933.0,2332.0,43.687815,-79.39387575,98
"154 Cumberland St, Toronto ON",1575.0,5906.0,43.6701295,-79.3933036,95
"111 Peter Street, Toronto ON",1836.0,9467.0,43.6478378,-79.3928943,77
"407 - 111 Peter Street, Toronto ON",6070.0,31300.0,43.6461282,-79.3923374,77
"111 Peter Street, Toronto ON",4109.0,21188.0,43.6478378,-79.3928943,77
"522 Yonge Street, Toronto ON",2019.0,4206.0,43.7384608684089,-79.4025253030898,41
"3222 Yonge Street, Toronto ON",4920.0,13125.0,43.7288886,-79.4034156,105
"101 - 111 Peter Street, Toronto ON",4914.0,25339.0,43.6475282,-79.39279859999999,77
"111 Peter Street, Toronto ON",12629.0,65123.0,43.6478378,-79.3928943,77
"901 King Street West, Toronto ON",12736.0,66290.0,43.641831599999996,-79.41104179999999,82
"2587 Yonge Street, Toronto ON",1124.0,5620.0,43.7143651,-79.3997705,99
"45-47 Sheppard Avenue East, Toronto ON",4426.0,15446.0,43.762046000000005,-79.408039,51
"45-47 Sheppard Avenue East, Toronto ON",2186.0,7628.0,43.762046000000005,-79.408039,51
"45-47 Sheppard Avenue East, Toronto ON",723.0,2523.0,43.762046000000005,-79.408039,51
"45-47 Sheppard Avenue East, Toronto ON",4426.0,15446.0,43.762046000000005,-79.408039,51
"45-47 Sheppard Avenue East, Toronto ON",1089.0,3800.0,43.762046000000005,-79.408039,51
"3478 Lawrence Ave E, Toronto ON",1998.0,4412.0,43.759638200000005,-79.22731259999999,137
"3478 Lawrence Ave E, Toronto ON",1341.0,3184.0,43.759638200000005,-79.22731259999999,137
"831 Runnymede Road, Toronto ON",1100.0,1500.0,43.66963978181817,-79.4836337181818,90
"363 Eglinton Ave W, Toronto ON",800.0,9000.0,43.70410954,-79.4101337,100
"4 - 1333 Kennedy Rd, Toronto ON",7500.0,12812.0,43.7498802,-79.2751502,126
"1 - 1230 Queen Street West, Toronto ON",9247.0,34676.0,43.64712,-79.4043864,81
"792 Eglinton Ave E, Toronto ON",1500.0,4375.0,43.71327247021277,-79.36692114042553,56
"340 Westmoreland Avenue North, Toronto ON",1471.0,3900.0,43.6737258,-79.43571999999999,93
"1425 Yonge - 1425 Yonge Street, Toronto ON",1360.0,4533.0,43.70735415,-79.39938168016465,100
"4 - 1230 Queen Street West, Toronto ON",712.0,2670.0,43.640612100000006,-79.43720340000002,86
"424 Adelaide Street East, Toronto ON",701.5,1720.0,43.652529,-79.367271,73
"950 Dupont St, Toronto ON",2000.0,5833.0,43.6700458,-79.4316439,93
"3222 Yonge Street, Toronto ON",5115.0,8850.0,43.7288886,-79.4034156,105
"100 - 10 King Street East, Toronto ON",2537.0,19507.0,43.6554763,-79.3585387,73
"289 College Street, Toronto ON",4000.0,24000.0,43.65758498,-79.40107876,78
"2183 Lake Shore Boulevard West, Toronto ON",1156.0,4816.0,43.62341982430443,-79.48074778070155,17
"3590 Lake Shore Boulevard West, Toronto ON",4058.5,1580.0,43.59429400000001,-79.53485484999999,19
"55 Berkeley St, Toronto ON",2940.0,9344.0,43.6523263,-79.36432940000002,73
"2550 Midland Ave, Toronto ON",6500.0,6445.0,43.77415379999999,-79.2734817,127
"2814 Dufferin St, Toronto ON",125.0,750.0,43.705862200000006,-79.4531162,31
"899 Queen Street East, Toronto ON",1868.0,8561.0,43.6605150923077,-79.34189044615384,70
"1578 Bayview Ave, Toronto ON",2190.0,5292.0,43.705536802500006,-79.37528717,99
"3464 Kingston Rd, Toronto ON",1000.0,900.0,43.73816388044168,-79.2181352267276,139
"2240 Lake Shore Boulevard West, Toronto ON",1765.0,6618.0,43.6212424,-79.4830236,17
"70 Wingold Avenue, Toronto ON",1125.0,1875.0,43.70271285684698,-79.45777653995937,31
"3879 Lawrence Ave E, Toronto ON",2000.0,4000.0,43.7485795,-79.2797138,126
"1420 Kennedy Rd, Toronto ON",1989.0,6503.0,43.7639281,-79.28066159999999,126
"219 Dufferin St, Toronto ON",1690.0,3175.0,43.6363749,-79.4260542,85
"1048 Kingston Road, Toronto ON",2115.0,7755.5,43.68094201250001,-79.284390325,62
"423 Queen St W, Toronto ON",1650.0,8250.0,43.6488305,-79.395204,77
"73 Coxwell Ave, Toronto ON",1150.0,3353.0,43.6686477,-79.3171283,64
