nbh_num,cat_1,cat_2,price_tier,likes,rating,CAD / ft²·month,Neighbourhood,Population 2016,Population density per square kilometre,Children (0-14 years),Youth (15-24 years),Working Age (25-54 years),Pre-retirement (55-64 years),Seniors (65+ years),Older Seniors (85+ years),After-tax income: Average amount ($)
31,Greek Restaurant,None,3,8,7.7,2.2112567577575355,Yorkdale-Glen Park,14804,2451,1960,1870,5860,1810,3295,775,32904
31,Sushi Restaurant,None,2,22,7.9,2.2112567577575355,Yorkdale-Glen Park,14804,2451,1960,1870,5860,1810,3295,775,32904
32,Breakfast Spot,Diner,2,49,8.4,2.5560814008518693,Englemount-Lawrence,22372,6466,4805,3030,8385,2430,3725,955,39911
33,Deli / Bodega,None,1,18,8.1,2.6162790697674416,Clanton Park,16472,3979,2765,1910,7470,1935,2375,400,41837
33,Bagel Shop,None,1,28,7.2,2.6162790697674416,Clanton Park,16472,3979,2765,1910,7470,1935,2375,400,41837
33,Pizza Place,None,1,1,6.1,2.6162790697674416,Clanton Park,16472,3979,2765,1910,7470,1935,2375,400,41837
42,Cantonese Restaurant,None,2,93,8.1,2.830188679245283,Banbury-Don Mills,27695,2775,3605,2730,10810,3555,6975,1640,51874
42,Café,Coffee Shop,1,73,8.5,2.830188679245283,Banbury-Don Mills,27695,2775,3605,2730,10810,3555,6975,1640,51874
42,Mexican Restaurant,None,2,52,8.4,2.830188679245283,Banbury-Don Mills,27695,2775,3605,2730,10810,3555,6975,1640,51874
42,New American Restaurant,Restaurant,3,199,8.2,2.830188679245283,Banbury-Don Mills,27695,2775,3605,2730,10810,3555,6975,1640,51874
42,Middle Eastern Restaurant,Halal Restaurant,2,16,7.9,2.830188679245283,Banbury-Don Mills,27695,2775,3605,2730,10810,3555,6975,1640,51874
43,Middle Eastern Restaurant,None,1,21,7.7,1.5649323621227889,Victoria Village,17510,3710,2630,2030,7170,2270,3405,570,30769
43,Portuguese Restaurant,None,2,6,6.5,1.5649323621227889,Victoria Village,17510,3710,2630,2030,7170,2270,3405,570,30769
48,Bakery,None,1,8,7.8,1.5,Hillcrest Village,16934,3148,2115,2170,6060,2265,4305,630,34203
48,Cantonese Restaurant,None,2,116,7.6,1.5,Hillcrest Village,16934,3148,2115,2170,6060,2265,4305,630,34203
48,Sandwich Place,Fast Food Restaurant,1,2,6.5,1.5,Hillcrest Village,16934,3148,2115,2170,6060,2265,4305,630,34203
48,Sandwich Place,Fast Food Restaurant,1,4,6.0,1.5,Hillcrest Village,16934,3148,2115,2170,6060,2265,4305,630,34203
50,Korean Restaurant,Asian Restaurant,2,18,8.4,23.55029585798816,Newtonbrook East,16097,3926,1585,2185,6860,2155,3320,670,36139
50,Café,None,1,34,7.5,23.55029585798816,Newtonbrook East,16097,3926,1585,2185,6860,2155,3320,670,36139
50,Middle Eastern Restaurant,None,2,5,7.0,23.55029585798816,Newtonbrook East,16097,3926,1585,2185,6860,2155,3320,670,36139
50,Japanese Restaurant,None,2,16,6.9,23.55029585798816,Newtonbrook East,16097,3926,1585,2185,6860,2155,3320,670,36139
50,Sandwich Place,Fast Food Restaurant,1,3,6.4,23.55029585798816,Newtonbrook East,16097,3926,1585,2185,6860,2155,3320,670,36139
51,Ramen Restaurant,None,0,39,8.2,3.489727626459144,Willowdale East,50434,10087,5920,6940,25850,5460,6270,830,36740
51,Café,None,1,21,7.6,3.489727626459144,Willowdale East,50434,10087,5920,6940,25850,5460,6270,830,36740
51,Diner,Burger Joint,1,9,6.8,3.489727626459144,Willowdale East,50434,10087,5920,6940,25850,5460,6270,830,36740
51,Japanese Restaurant,Sake Bar,2,12,7.0,3.489727626459144,Willowdale East,50434,10087,5920,6940,25850,5460,6270,830,36740
51,Italian Restaurant,None,2,17,6.7,3.489727626459144,Willowdale East,50434,10087,5920,6940,25850,5460,6270,830,36740
52,Breakfast Spot,None,1,17,7.7,4.583333333333334,Bayview Village,21396,4195,2415,2505,10310,2540,3615,610,41440
52,Persian Restaurant,None,0,11,7.5,4.583333333333334,Bayview Village,21396,4195,2415,2505,10310,2540,3615,610,41440
