Neighbourhood Number,CAD / ft²·month
1,4.015792327504405
2,2.9166666666666665
3,1.3333333333333335
17,2.652805651440957
19,0.38930639398792655
21,1.95
23,5.416666666666667
26,1.6839378238341969
27,2.720925908710607
29,1.0416666666666667
30,2.0833333333333335
31,2.211256757757535
32,2.5560814008518693
33,2.616279069767442
34,3.0
38,4.583333333333334
41,2.083209509658247
42,2.830188679245283
43,1.5649323621227889
48,1.5
50,23.550295857988164
51,3.489727626459144
52,4.583333333333334
53,3.9414079667585606
54,1.910828025477707
56,3.6309523809523805
59,2.7
62,2.8531727008080265
63,3.1563551756284856
64,2.9156521739130437
65,2.5661163812574435
66,2.6112933213562015
67,4.0
68,3.3636363636363638
70,2.6487532594524117
71,2.813211009174312
73,3.185936036564031
75,4.657306763285025
76,3.35847517176063
77,3.7826583089254955
78,5.469586552979839
79,3.25329564032153
80,1.478743068391867
81,3.8590129401143543
82,5.723466702256689
83,1.541640625
84,2.7276474162520166
85,2.56269592476489
86,3.117619247741122
87,2.2548817381738173
89,4.8
90,2.399301692536337
91,0.7049932320649721
93,3.017414186475395
94,0.0008333333333333334
95,9.430376923648799
98,6.01922516749199
99,3.7477581718252826
100,6.2652777777777775
102,2.277112334088702
103,2.969684798408691
104,2.9621661836999857
105,2.9494784291576437
106,3.07
108,1.9410658307210031
110,1.425
111,2.9166666666666665
113,2.43700129894229
115,1.8666666666666667
118,3.996763754045308
120,2.9216467463479416
122,1.7063650920736588
126,1.9796063471457814
127,0.9915384615384616
128,1.3714165853854403
129,2.459090909090909
130,4.246619345573078
131,3.8927335640138407
133,4.0
137,2.551706173482678
138,0.9816176470588235
139,2.0633082253998385
140,1.553062985332183
