nbh_num,venue_id,venue_lon,venue_lat,cat_1,cat_2,price_tier,likes,rating
31,4b3113e0f964a520b3ff24e3,-79.45622274434868,43.71722432853837,Restaurant,None,2,15,7.6
31,4b9580fef964a52044a634e3,-79.45570632677568,43.71830860417442,Fried Chicken Joint,Fast Food Restaurant,1,8,7.9
31,52ae475e498e1d931502955d,-79.45585522412502,43.71851626753137,Greek Restaurant,None,3,8,7.7
31,4b5f1f11f964a52047a729e3,-79.45611946822187,43.72060971477955,Sushi Restaurant,None,2,22,7.9
32,4ad9f4a0f964a520571c21e3,-79.43109456040295,43.7200428099426,Breakfast Spot,Diner,2,49,8.4
32,51d99959498ea979ae4c26dd,-79.4320245822879,43.72319876295153,Breakfast Spot,None,1,0,0.0
33,5515a55e498e3be5c4d1e668,-79.4351901216509,43.74080445352652,Deli / Bodega,None,1,18,8.1
33,4b15595cf964a5205dab23e3,-79.4374972489172,43.736717113021705,Bagel Shop,None,1,28,7.2
33,4b6dcea4f964a520b3912ce3,-79.44148338931069,43.73666919003047,Pizza Place,None,1,1,6.1
33,4fc3af02e4b0addac0082e1f,-79.44239389548237,43.73576493321262,BBQ Joint,None,2,1,0.0
33,59e238a624962376ec686ec4,-79.437318,43.736673,Filipino Restaurant,None,2,2,0.0
34,4ced9f5dd29b2d43048fecbb,-79.4565461575985,43.76315221315189,Bagel Shop,None,1,0,0.0
34,4db72fad5da3b5fa68a55738,-79.45581,43.76915,Pizza Place,None,1,0,0.0
38,4ea809cd49011f90218d089a,-79.424704,43.759399,Café,None,1,0,0.0
38,51b09ba7498ec43e8eb836ff,-79.43520089239547,43.74923942520645,Gastropub,None,3,0,0.0
38,4d6ee5fa38a588bfbed306e1,-79.43743743256304,43.75578017077131,Chinese Restaurant,None,1,0,0.0
41,51394203e4b04403164fe942,-79.38172759056107,43.732616131900265,Restaurant,None,2,5,0.0
41,52af71ad498efc2e4108c6a0,-79.38205914552006,43.73300478882409,Café,None,1,3,0.0
41,4f29422fe4b09023de491f10,-79.37783461678573,43.72731127063538,Café,None,1,1,0.0
41,506dd01be4b0eca4bb872066,-79.37652042626512,43.72181380411455,Falafel Restaurant,None,1,0,0.0
41,4c6306d869a1c9b6291f3aa4,-79.37642455101013,43.7216295207983,Food Court,None,0,0,0.0
42,4b0ec556f964a520c95a23e3,-79.34735561803191,43.735977372912316,Cantonese Restaurant,None,2,93,8.1
42,4e11eea96284edb6badbaa31,-79.3452038090861,43.73439968185306,Café,Coffee Shop,1,73,8.5
42,52ae494c11d2b6f249bfeaac,-79.34396,43.73521,Mexican Restaurant,None,2,52,8.4
42,4c02b933310fc9b64fe1c461,-79.34473422057377,43.733990328997315,New American Restaurant,Restaurant,3,199,8.2
42,56b64c6d498e429dd4a65e9c,-79.34347318005996,43.73654713885171,Middle Eastern Restaurant,Halal Restaurant,2,16,7.9
43,4aec8a50f964a5207ac821e3,-79.30539020048727,43.73107096414275,Middle Eastern Restaurant,None,1,21,7.7
43,4f3ecce6e4b0587016b6f30d,-79.31278541470671,43.72581876267242,Portuguese Restaurant,None,2,6,6.5
43,4d689350b6f46dcb77ee15b2,-79.31741760908679,43.72705130603407,French Restaurant,None,3,0,0.0
43,4b8fe578f964a520106833e3,-79.31286041792907,43.725823726352196,Pizza Place,None,1,1,0.0
48,4bd9842be914a593adbd56fa,-79.35679781099806,43.80772211146167,Bakery,None,1,8,7.8
48,4b29222af964a520679924e3,-79.35746207495143,43.81214981083949,Cantonese Restaurant,None,2,116,7.6
48,4bedeb7c4daaa5930a788f61,-79.35359470825608,43.79449200780434,Sandwich Place,Fast Food Restaurant,1,2,6.5
48,4ec6f09d77c8be492202e117,-79.34974493981167,43.795346355658275,Sandwich Place,Fast Food Restaurant,1,4,6.0
48,4dd44ae41f6ec4e0bb76d28e,-79.35671733362557,43.807413574024274,Chinese Restaurant,None,1,0,0.0
50,58ba1f446d349d32d862ff70,-79.41810431599762,43.78972879937165,Korean Restaurant,Asian Restaurant,2,18,8.4
50,4bbfe5312a89ef3b0dd8ef88,-79.41807777426489,43.79111742415979,Café,None,1,34,7.5
50,4d646f39801854819cc04a68,-79.41799377823828,43.79121308121634,Middle Eastern Restaurant,None,2,5,7.0
50,56213166498e38425934a7c2,-79.41812192412795,43.790063017770166,Japanese Restaurant,None,2,16,6.9
50,4c34bdcb66e40f47fd0bca8b,-79.41756010589164,43.78926656908989,Sandwich Place,Fast Food Restaurant,1,3,6.4
51,5a02789d0a464d3112a58785,-79.41222209328754,43.76699771023422,Ramen Restaurant,None,0,39,8.2
51,557767bc498ea4a20c8043f6,-79.41308107735675,43.76944882099181,Café,None,1,21,7.6
51,4c796e0581bca0939d66fd14,-79.39886788029243,43.76397143768718,Diner,Burger Joint,1,9,6.8
51,5077025ce4b05aefca37d9f9,-79.41313811956255,43.77080606720809,Japanese Restaurant,Sake Bar,2,12,7.0
51,4b69ad98f964a520f3ac2be3,-79.39989823947919,43.764517781816416,Italian Restaurant,None,2,17,6.7
52,4c37332c3849c928713bbdb1,-79.37477798821956,43.770162103240736,Breakfast Spot,None,1,17,7.7
52,56da20a2cd10b73f291ea356,-79.37443439177133,43.769997628351945,Persian Restaurant,None,0,11,7.5
52,4b2ec400f964a52055e624e3,-79.36427332471165,43.778862961627105,Middle Eastern Restaurant,None,2,59,7.8
52,4b8ff9d2f964a520846d33e3,-79.36774570473017,43.773809531275965,Deli / Bodega,None,1,7,7.1
52,4af41aa4f964a52016f021e3,-79.3706517485142,43.76985279666742,Fast Food Restaurant,None,1,41,6.8
53,4c296a65e19720a11990f958,-79.3404009228877,43.77417136429855,Japanese Restaurant,Sushi Restaurant,2,4,6.9
53,4e222c9e1838712abe7ab940,-79.34070116762729,43.77375219472015,Sandwich Place,Fast Food Restaurant,1,1,6.5
53,4e3963c2a809d73012e52fa9,-79.33750963238352,43.77210832224266,Sandwich Place,None,1,1,0.0
53,593c5d4c2a7ab65ad5d91d5c,-79.340355,43.774075,Hotpot Restaurant,Chinese Restaurant,0,1,0.0
53,4d659e84c2ccb60c7b4067ac,-79.34100273705522,43.77403162703689,Indian Restaurant,None,2,3,5.2
54,4b5a3842f964a52023b528e3,-79.31291304477831,43.705782646822,Gastropub,None,2,30,7.8
54,4c69a3588e7c0f47e629e00f,-79.30806318602713,43.71326033174486,Bakery,None,1,32,7.9
54,4c2136677e85c9286827ba21,-79.31312955571528,43.70515901620182,Pizza Place,None,1,0,6.0
54,4bd705e07b1876b0f16b8d86,-79.30908534280502,43.71096402126402,Fast Food Restaurant,American Restaurant,1,8,6.3
54,4bccc53fcc8cd13a9b8bc1cf,-79.31395663414658,43.70592051370348,Pizza Place,None,1,2,0.0
56,4b5f70a0f964a52076ba29e3,-79.3618288170822,43.706141306111306,Fish & Chips Shop,None,2,96,8.9
56,4f491eb6e4b08df2fc587af0,-79.36337749596078,43.70313548357126,Sandwich Place,None,1,4,7.5
56,4b75c28af964a520ba222ee3,-79.37459682773826,43.7039912915598,Indian Restaurant,None,2,18,8.0
